"QUARTER","ORIGIN","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_STATE_ABR","AIRPORT_GROUP","OP_CARRIER_GROUP","PASSENGERS","MARKET_FARE","MARKET_DISTANCE","ITIN_GEO_TYPE","numLayovers"
3,"JFK","NY",14683,"TX","JFK:ORD:SAT","AA:AA",1,233.51,1781,2,1
3,"LGA","NY",13303,"FL","LGA:MIA","AA",1,111.36,1096,2,0
3,"LGA","NY",11292,"CO","LGA:DEN","DL",1,290.46,1620,2,0
3,"BUF","NY",14771,"CA","BUF:CLT:SFO","AA:AA",1,191,2842,2,1
3,"IAH","TX",12953,"NY","IAH:DFW:LGA","AA:AA",1,231,1613,2,1
3,"JFK","NY",14107,"AZ","JFK:PHX","DL",2,197,2153,2,0
3,"ORF","VA",12478,"NY","ORF:JFK","9E",1,172.5,290,2,0
3,"PBG","NY",14112,"FL","PBG:PIE","G4",5,71.5,1262,2,0
3,"EVV","IN",12953,"NY","EVV:DTW:LGA","9E:DL",1,323,865,2,1
3,"JFK","NY",11630,"AK","JFK:SEA:JNU:FAI","DL:DL:--",1,899.27,3955,1,2
3,"LGA","NY",10693,"TN","LGA:BNA","WN",1,158.5,764,2,0
3,"RSW","FL",12953,"NY","RSW:LGA","9E",1,148.5,1080,2,0
3,"LGA","NY",11298,"TX","LGA:DFW","YX",2,135.5,1389,2,0
3,"BUF","NY",11298,"TX","BUF:ORD:DFW","UA:UA",1,136.5,1276,2,1
3,"AUS","TX",12953,"NY","AUS:DAL:LGA","WN:WN",1,208.32,1570,2,1
3,"SYR","NY",10397,"GA","SYR:ATL","DL",1,210,794,2,0
3,"BUR","CA",12478,"NY","BUR:JFK","B6",1,304.5,2465,2,0
3,"RDU","NC",15096,"NY","RDU:IAD:SYR","UA:C5",1,849,520,2,1
3,"ABQ","NM",12953,"NY","ABQ:MSP:LGA","DL:DL",1,492.5,2001,2,1
3,"LGA","NY",10994,"SC","LGA:CHS","9E",2,142,641,2,0
3,"JFK","NY",13930,"IL","JFK:ORD","B6",2,115,740,2,0
3,"JFK","NY",12892,"CA","JFK:LAX","AA",5,402,2475,2,0
3,"BOS","MA",12953,"NY","BOS:LGA","B6",3,182.5,184,2,0
3,"LGA","NY",11042,"OH","LGA:CLE","MQ",1,136.49,419,2,0
3,"LGA","NY",11042,"OH","LGA:CLE","MQ",1,295.5,419,2,0
3,"ATL","GA",12953,"NY","ATL:LGA","WN",2,180,762,2,0
3,"LGA","NY",13930,"IL","LGA:ORD","AA",31,108.5,733,2,0
3,"MKE","WI",12478,"NY","MKE:DTW:LGA:JFK","DL:DL:--",1,182.64,750,2,2
3,"SEA","WA",12478,"NY","SEA:JFK","B6",2,171,2422,2,0
